Application_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,Application_Status,,,Gini Index Calculation – Married,,,,,,,Entropy & Information Gain Calculation – Married,,,
LP001002,Male,No,0,Graduate,No,1,Urban,medium,Y,,,,App_Y,App_N,,,,,,App_Y,App_N,
LP001003,Male,Yes,1,Graduate,No,1,Rural,medium,N,,,Married_Yes,5,3,8,,,,Married_Yes,5,3,8
LP001005,Male,Yes,0,Graduate,Yes,1,Urban,low,Y,,,Married_No,2,0,2,,,,Married_No,2,0,2
LP001006,Male,Yes,0,Not Graduate,No,1,Urban,low,Y,,,,7,3,,,,,,7,3,
LP001008,Male,No,0,Graduate,No,1,Urban,medium,Y,,,,,,,,,,,,,
LP001011,Male,Yes,2,Graduate,Yes,1,Urban,medium,Y,,,Married_Yes & Loan_Y,5,Total Married_Yes,8,,,,Married_Yes & Loan_Y,5,Total Married_Yes,8
LP001013,Male,Yes,0,Not Graduate,No,1,Urban,low,Y,,,Married_Yes & Loan_N,3,Total Married_Yes,8,,,,Married_Yes & Loan_N,3,Total Married_Yes,8
LP001014,Male,Yes,3+,Graduate,No,0,Semiurban,low,N,,,Married_No & Loan_Y,2,Total Married_No,2,,,,Married_No & Loan_Y,2,Total Married_No,2
LP001018,Male,Yes,2,Graduate,No,1,Urban,medium,Y,,,Married_No & Loan_N,0,Total Married_No,2,,,,Married_No & Loan_N,0,Total Married_No,2
LP001020,Male,Yes,1,Graduate,No,1,Semiurban,high,N,,,,,,,,,,,,Total App_Y,7
,,,,,,,,,,,,Gini Married_Yes,1 – ((Married_Yes & App_Y/Total Married_Yes)**2 + (Married_Yes & App_No)**2),,,,,,,,Total App_N,3
,,,,,,,,,,,,,0.46875,,,,,,,,,
,,,,,,,,,,,,Gini Married_No,1 – ((Married_No & App_Y/Total Married_Yes)**2 + (Married_No & App_No)**2),,,,,,Entropy Target,-p(App_Y)*log2(App_Y) -p(App_N)*log2(App_N),,
,,,,,,,,,,,,,0,,,,,,,0.8812908992,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gini for Married,(Gini Married_Yes) * (Married_Yes/Total) + (Gini Married_No) * (Married_No/Total),,,,,,Entropy Married_Yes,-p(Marr_Y & App_Y)*log2 p(Marr_Y and App_Y) -p(Marr_Y & App_N)*log2 p(Marr_Y & Ap_N),,
,,,,,,,,,,,,,0.625,,,,,,,0.9544340029,,
,,,,,,,,,,,,,,,,,,,Entropy Married_No,-p(Marr_N & App_Y)*log2 p(Marr_N and App_Y) -p(Marr_N & App_N)*log2 p(Marr_N & Ap_N),,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,0.3752,,Gini Index Calculation – Education,,,,,,,Entropy Married,(Entropy Marr_Y)*(Marr_Y Tot) + (Entropy Marr_N)*(Marr_N Tot),,
,,,,,,,,,,0.6248,,,App_Y,App_N,,,,,,0.7635472023,,
,,,,,,,,,,,,G,5,3,8,,,,,,,
,,,,,,,,,,,,UG,2,0,2,,,,Information Gain Married,Entropy Target – Entropy Married,,
,,,,,,,,,,,,,7,3,,,,,,0.1177436969,,
,,,,,,,,,,,,,,,,,,,,,,
